Datum;Grupp;Serie;rate
2012-03-08;Valutor mot svenska kronor;1 GBP;10.6833
2012-03-09;Valutor mot svenska kronor;1 GBP;10.6312
2012-03-12;Valutor mot svenska kronor;1 GBP;10.6743
2012-03-13;Valutor mot svenska kronor;1 GBP;10.6229
2012-03-14;Valutor mot svenska kronor;1 GBP;10.6892
2012-03-15;Valutor mot svenska kronor;1 GBP;10.7152
2012-03-16;Valutor mot svenska kronor;1 GBP;10.6715
2012-03-19;Valutor mot svenska kronor;1 GBP;10.7106
2012-03-20;Valutor mot svenska kronor;1 GBP;10.6777
2012-03-21;Valutor mot svenska kronor;1 GBP;10.6888
2012-03-22;Valutor mot svenska kronor;1 GBP;10.7191
2012-03-23;Valutor mot svenska kronor;1 GBP;10.7028
2012-03-26;Valutor mot svenska kronor;1 GBP;10.6938
2012-03-27;Valutor mot svenska kronor;1 GBP;10.6563
2012-03-28;Valutor mot svenska kronor;1 GBP;10.5947
2012-03-29;Valutor mot svenska kronor;1 GBP;10.5603
2012-03-30;Valutor mot svenska kronor;1 GBP;10.6017
2012-04-02;Valutor mot svenska kronor;1 GBP;10.5824
2012-04-03;Valutor mot svenska kronor;1 GBP;10.5639
2012-04-04;Valutor mot svenska kronor;1 GBP;10.5944
2012-04-05;Valutor mot svenska kronor;1 GBP;10.6476
2012-04-10;Valutor mot svenska kronor;1 GBP;10.7475
2012-04-11;Valutor mot svenska kronor;1 GBP;10.8031
2012-04-12;Valutor mot svenska kronor;1 GBP;10.8068
2012-04-13;Valutor mot svenska kronor;1 GBP;10.777
2012-04-16;Valutor mot svenska kronor;1 GBP;10.8081
2012-04-17;Valutor mot svenska kronor;1 GBP;10.7761
2012-04-18;Valutor mot svenska kronor;1 GBP;10.7545
2012-04-19;Valutor mot svenska kronor;1 GBP;10.8127
2012-04-20;Valutor mot svenska kronor;1 GBP;10.8117
2012-04-23;Valutor mot svenska kronor;1 GBP;10.8214
2012-04-24;Valutor mot svenska kronor;1 GBP;10.8875
2012-04-25;Valutor mot svenska kronor;1 GBP;10.868
2012-04-26;Valutor mot svenska kronor;1 GBP;10.8573
2012-04-27;Valutor mot svenska kronor;1 GBP;10.9085
2012-04-30;Valutor mot svenska kronor;1 GBP;10.9425
2012-05-02;Valutor mot svenska kronor;1 GBP;10.9125
2012-05-03;Valutor mot svenska kronor;1 GBP;10.9138
2012-05-04;Valutor mot svenska kronor;1 GBP;10.9493
2012-05-07;Valutor mot svenska kronor;1 GBP;11.0722
2012-05-08;Valutor mot svenska kronor;1 GBP;11.0496
2012-05-09;Valutor mot svenska kronor;1 GBP;11.0759
2012-05-10;Valutor mot svenska kronor;1 GBP;11.1072
2012-05-11;Valutor mot svenska kronor;1 GBP;11.234
2012-05-14;Valutor mot svenska kronor;1 GBP;11.2425
2012-05-15;Valutor mot svenska kronor;1 GBP;11.314
2012-05-16;Valutor mot svenska kronor;1 GBP;11.5031
2012-05-18;Valutor mot svenska kronor;1 GBP;11.3889
2012-05-21;Valutor mot svenska kronor;1 GBP;11.2735
2012-05-22;Valutor mot svenska kronor;1 GBP;11.255
2012-05-23;Valutor mot svenska kronor;1 GBP;11.2769
2012-05-24;Valutor mot svenska kronor;1 GBP;11.2442
2012-05-25;Valutor mot svenska kronor;1 GBP;11.2294
2012-05-28;Valutor mot svenska kronor;1 GBP;11.2185
2012-05-29;Valutor mot svenska kronor;1 GBP;11.2325
2012-05-30;Valutor mot svenska kronor;1 GBP;11.259
2012-05-31;Valutor mot svenska kronor;1 GBP;11.2058
2012-06-01;Valutor mot svenska kronor;1 GBP;11.1864
2012-06-04;Valutor mot svenska kronor;1 GBP;11.1494
2012-06-05;Valutor mot svenska kronor;1 GBP;11.0644
2012-06-07;Valutor mot svenska kronor;1 GBP;11.0934
2012-06-08;Valutor mot svenska kronor;1 GBP;11.0897
2012-06-11;Valutor mot svenska kronor;1 GBP;10.9818
2012-06-12;Valutor mot svenska kronor;1 GBP;10.9764
2012-06-13;Valutor mot svenska kronor;1 GBP;10.9887
2012-06-14;Valutor mot svenska kronor;1 GBP;10.8926
2012-06-15;Valutor mot svenska kronor;1 GBP;10.851
2012-06-18;Valutor mot svenska kronor;1 GBP;10.9382
2012-06-19;Valutor mot svenska kronor;1 GBP;10.9833
2012-06-20;Valutor mot svenska kronor;1 GBP;10.9752
2012-06-21;Valutor mot svenska kronor;1 GBP;10.9379
2012-06-25;Valutor mot svenska kronor;1 GBP;10.9743
2012-06-26;Valutor mot svenska kronor;1 GBP;11.0191
2012-06-27;Valutor mot svenska kronor;1 GBP;11.0545
2012-06-28;Valutor mot svenska kronor;1 GBP;10.9885
2012-06-29;Valutor mot svenska kronor;1 GBP;10.8952
2012-07-02;Valutor mot svenska kronor;1 GBP;10.8632
2012-07-03;Valutor mot svenska kronor;1 GBP;10.8854
2012-07-04;Valutor mot svenska kronor;1 GBP;10.873
2012-07-05;Valutor mot svenska kronor;1 GBP;10.7847
2012-07-06;Valutor mot svenska kronor;1 GBP;10.8159
2012-07-09;Valutor mot svenska kronor;1 GBP;10.8893
2012-07-10;Valutor mot svenska kronor;1 GBP;10.8591
2012-07-11;Valutor mot svenska kronor;1 GBP;10.8382
2012-07-12;Valutor mot svenska kronor;1 GBP;10.8572
2012-07-13;Valutor mot svenska kronor;1 GBP;10.8461
2012-07-16;Valutor mot svenska kronor;1 GBP;10.9635
2012-07-17;Valutor mot svenska kronor;1 GBP;10.9988
2012-07-18;Valutor mot svenska kronor;1 GBP;10.9016
2012-07-19;Valutor mot svenska kronor;1 GBP;10.8621
2012-07-20;Valutor mot svenska kronor;1 GBP;10.8878
2012-07-23;Valutor mot svenska kronor;1 GBP;10.8549
2012-07-24;Valutor mot svenska kronor;1 GBP;10.7747
2012-07-25;Valutor mot svenska kronor;1 GBP;10.8209
2012-07-26;Valutor mot svenska kronor;1 GBP;10.7588
2012-07-27;Valutor mot svenska kronor;1 GBP;10.7611
2012-07-30;Valutor mot svenska kronor;1 GBP;10.7911
2012-07-31;Valutor mot svenska kronor;1 GBP;10.6813
2012-08-01;Valutor mot svenska kronor;1 GBP;10.5911
2012-08-02;Valutor mot svenska kronor;1 GBP;10.5121
2012-08-03;Valutor mot svenska kronor;1 GBP;10.5381
2012-08-06;Valutor mot svenska kronor;1 GBP;10.5368
